,Serving,Win,Service,dir_srv,Surface,isAce,count
430,Serving,Loss,1st,Wide,Hard,False,1
431,Serving,Loss,2nd,Body,Hard,False,1
432,Serving,Win,1st,Down the T,Hard,False,1
433,Serving,Loss,2nd,Down the T,Hard,False,1
434,Serving,Win,1st,Wide,Hard,False,1
435,Serving,Win,2nd,Body,Hard,False,1
436,Receiving,Loss,2nd,Wide,Hard,False,1
437,Receiving,Win,1st,Wide,Hard,False,1
438,Receiving,Win,1st,Wide,Hard,False,1
439,Receiving,Loss,1st,Wide,Hard,False,1
440,Receiving,Loss,2nd,Wide,Hard,False,1
441,Receiving,Loss,1st,Down the T,Hard,False,1
442,Serving,Win,1st,Down the T,Hard,False,1
443,Serving,Win,1st,Wide,Hard,True,1
444,Serving,Win,2nd,Body,Hard,False,1
445,Serving,Win,2nd,Body,Hard,False,1
446,Receiving,Win,1st,Down the T,Hard,False,1
447,Receiving,Loss,1st,Wide,Hard,True,1
448,Receiving,Loss,1st,Wide,Hard,False,1
449,Receiving,Win,1st,Down the T,Hard,False,1
450,Receiving,Loss,1st,Down the T,Hard,False,1
451,Receiving,Loss,1st,Down the T,Hard,True,1
452,Serving,Win,1st,Wide,Hard,False,1
453,Serving,Loss,2nd,Down the T,Hard,False,1
454,Serving,Loss,2nd,Wide,Hard,False,1
455,Serving,Win,1st,Wide,Hard,False,1
456,Serving,Win,1st,Down the T,Hard,False,1
457,Serving,Win,1st,Wide,Hard,False,1
458,Receiving,Loss,1st,Down the T,Hard,False,1
459,Receiving,Loss,1st,Down the T,Hard,False,1
460,Receiving,Loss,1st,Wide,Hard,True,1
461,Receiving,Loss,1st,Wide,Hard,True,1
462,Serving,Win,2nd,Wide,Hard,False,1
463,Serving,Loss,1st,Wide,Hard,False,1
464,Serving,Win,1st,Down the T,Hard,False,1
465,Serving,Loss,1st,Wide,Hard,False,1
466,Serving,Win,1st,Wide,Hard,False,1
467,Serving,Loss,2nd,Down the T,Hard,False,1
468,Serving,Win,1st,Wide,Hard,True,1
469,Serving,Win,1st,Down the T,Hard,False,1
470,Receiving,Loss,2nd,Body,Hard,False,1
471,Receiving,Win,1st,Down the T,Hard,False,1
472,Receiving,Win,1st,Wide,Hard,False,1
473,Receiving,Loss,1st,Down the T,Hard,False,1
474,Receiving,Win,1st,Wide,Hard,False,1
475,Receiving,Loss,1st,Down the T,Hard,True,1
476,Receiving,Loss,1st,Down the T,Hard,False,1
477,Receiving,Loss,2nd,Wide,Hard,True,1
478,Serving,Win,2nd,Wide,Hard,False,1
479,Serving,Win,1st,Down the T,Hard,False,1
480,Serving,Loss,1st,Wide,Hard,False,1
481,Serving,Loss,2nd,Down the T,Hard,False,1
482,Serving,Win,1st,Wide,Hard,False,1
483,Serving,Loss,2nd,Body,Hard,False,1
484,Serving,Win,2nd,Body,Hard,False,1
485,Serving,Loss,2nd,Body,Hard,False,1
486,Serving,Win,1st,Wide,Hard,False,1
487,Serving,Loss,2nd,Down the T,Hard,False,1
488,Serving,Win,1st,Wide,Hard,False,1
489,Serving,Loss,2nd,Down the T,Hard,False,1
490,Serving,Win,1st,Wide,Hard,True,1
491,Serving,Loss,2nd,Wide,Hard,False,1
492,Serving,Loss,1st,Down the T,Hard,False,1
493,Serving,Win,1st,Down the T,Hard,False,1
494,Serving,Win,1st,Down the T,Hard,False,1
496,Serving,Win,1st,Wide,Hard,False,1
497,Serving,Loss,1st,Wide,Hard,False,1
498,Serving,Loss,1st,Wide,Hard,False,1
499,Serving,Loss,1st,Down the T,Hard,False,1
500,Receiving,Win,1st,Down the T,Hard,False,1
501,Receiving,Win,2nd,Down the T,Hard,False,1
502,Receiving,Loss,2nd,Wide,Hard,False,1
503,Receiving,Win,2nd,Wide,Hard,False,1
504,Receiving,Win,1st,Wide,Hard,False,1
505,Serving,Loss,2nd,Body,Hard,False,1
506,Serving,Loss,2nd,Wide,Hard,False,1
507,Serving,Win,1st,Wide,Hard,False,1
508,Serving,Win,1st,Wide,Hard,False,1
509,Serving,Win,1st,Wide,Hard,False,1
510,Serving,Win,1st,Down the T,Hard,False,1
511,Receiving,Win,1st,Body,Hard,False,1
512,Receiving,Loss,2nd,Down the T,Hard,False,1
513,Receiving,Win,2nd,Wide,Hard,False,1
514,Receiving,Loss,1st,Wide,Hard,False,1
515,Receiving,Loss,1st,Down the T,Hard,True,1
516,Receiving,Loss,1st,Wide,Hard,False,1
517,Serving,Win,1st,Wide,Hard,False,1
518,Receiving,Win,1st,Down the T,Hard,False,1
519,Receiving,Loss,1st,Wide,Hard,True,1
520,Serving,Win,1st,Down the T,Hard,False,1
521,Serving,Win,1st,Wide,Hard,False,1
522,Receiving,Win,1st,Wide,Hard,False,1
523,Receiving,Loss,2nd,Wide,Hard,False,1
524,Serving,Win,1st,Wide,Hard,False,1
525,Serving,Win,2nd,Body,Hard,False,1
526,Serving,Win,2nd,Wide,Hard,False,1
527,Serving,Win,1st,Wide,Hard,False,1
528,Serving,Win,1st,Down the T,Hard,True,1
529,Serving,Loss,2nd,Wide,Hard,False,1
530,Serving,Win,1st,Down the T,Hard,True,1
531,Receiving,Loss,1st,Down the T,Hard,False,1
532,Receiving,Loss,2nd,Wide,Hard,False,1
533,Receiving,Loss,2nd,Body,Hard,False,1
534,Receiving,Loss,2nd,Wide,Hard,False,1
535,Serving,Win,2nd,Down the T,Hard,False,1
536,Serving,Win,1st,Wide,Hard,True,1
537,Serving,Win,1st,Wide,Hard,False,1
538,Serving,Win,1st,Wide,Hard,True,1
539,Receiving,Loss,1st,Wide,Hard,False,1
540,Receiving,Loss,1st,Down the T,Hard,True,1
541,Receiving,Win,2nd,Body,Hard,False,1
542,Receiving,Loss,1st,Wide,Hard,True,1
543,Receiving,Loss,1st,Down the T,Hard,True,1
544,Serving,Win,1st,Wide,Hard,False,1
545,Serving,Win,1st,Down the T,Hard,True,1
546,Serving,Win,1st,Wide,Hard,True,1
547,Serving,Win,1st,Down the T,Hard,False,1
548,Receiving,Loss,2nd,Body,Hard,False,1
549,Receiving,Win,2nd,Wide,Hard,False,1
550,Receiving,Loss,1st,Down the T,Hard,True,1
551,Receiving,Loss,1st,Down the T,Hard,False,1
552,Receiving,Win,2nd,Body,Hard,False,1
